Turkish,English
bir ,One 
ne,What
ve,And
için,for  
mi ,Is it 
ben,I
çok,A lot
ama,But
evet,Yes
da,in
mı ,Is it 
değil,not
şey ,thing 
hayır,No
daha ,more 
sen,you
kadar,much
bana,To me
gibi,like
yok,no
bunu,this
onu,him
iyi,Good
tamam,Ok
beni,Me
seni,You
her,each
benim,Mine
sana,to you
ki,that
ya,either
neden,From where
zaman,time
sadece,Only
senin,your
burada,Here
olduğunu,is
nasıl ,How 
hiç,none
sonra,later
şimdi,Now
en,-most
öyle,like that
mu,Is it
şu,This
misin,are you
önce,before
hadi,Come on
güzel ,Beautiful 
oldu ,happened 
yani,well
böyle,like this
ona,him
iyi,Good
lütfen,Please
bile,even    
bak,look
peki,Alright
artık ,Now 
gerçekten,Really
geri ,back 
biliyorum,I know
istiyorum,I want
kim,who
olarak,aspect
başka,Another
belki,maybe
tek,only
doğru,TRUE
büyük,big
olan,the one which...
biri ,someone 
olur,It is possible
bay,Mr
adam,man
in,of
olacak,will be
ile,with
biz,We
yardım,help
hey,Hey
sanırım,I think
bilmiyorum,I don't know
bunun,this
tüm,all
fazla,more
